Date,count_heard_inf,news_inflation,news_inflation_ratio,count_heard_unfav,unfav_inflation,unfav_inflation_ratio,count_heard_fav,fav_inflation,fav_inflation_ratio,count_up_or_down,go_up,go_up_same_rate,stay_same,go_down
1991.8333333333208,505,8,0.015841584158415842,505,5,0.009900990099009901,505,3,0.005940594059405941,505,286,74,101,40
1991.916666666654,501,4,0.007984031936127744,501,4,0.007984031936127744,501,0,0.0,501,248,79,111,58
1991.9999999999873,510,5,0.00980392156862745,510,3,0.0058823529411764705,510,2,0.00392156862745098,510,251,66,133,53
1992.0833333333205,501,4,0.007984031936127744,501,2,0.003992015968063872,501,2,0.003992015968063872,501,246,79,132,43
1992.1666666666538,507,3,0.005917159763313609,507,1,0.0019723865877712033,507,2,0.0039447731755424065,507,251,80,137,34
1992.249999999987,501,6,0.011976047904191617,501,5,0.00998003992015968,501,1,0.001996007984031936,501,282,77,107,33
1992.3333333333203,500,3,0.006,500,2,0.004,500,1,0.002,500,265,93,99,36
1992.4166666666536,500,2,0.004,500,1,0.002,500,1,0.002,500,303,84,81,27
1992.4999999999868,507,5,0.009861932938856016,507,1,0.0019723865877712033,507,4,0.007889546351084813,507,294,78,105,26
1992.58333333332,501,4,0.007984031936127744,501,4,0.007984031936127744,501,0,0.0,501,260,106,103,29
1992.6666666666533,505,9,0.01782178217821782,505,8,0.015841584158415842,505,1,0.0019801980198019802,505,301,71,107,24
1992.7499999999866,500,2,0.004,500,2,0.004,500,0,0.0,500,284,66,118,26
1992.8333333333198,504,12,0.023809523809523808,504,9,0.017857142857142856,504,3,0.005952380952380952,504,291,91,106,14
1992.916666666653,504,1,0.001984126984126984,504,1,0.001984126984126984,504,0,0.0,504,257,92,126,20
1992.9999999999864,501,2,0.003992015968063872,501,2,0.003992015968063872,501,0,0.0,501,298,74,105,20
1993.0833333333196,503,5,0.009940357852882704,503,2,0.003976143141153081,503,3,0.005964214711729622,503,278,98,102,23
1993.1666666666529,508,8,0.015748031496062992,508,6,0.011811023622047244,508,2,0.003937007874015748,508,319,79,95,14
1993.2499999999861,501,9,0.017964071856287425,501,5,0.00998003992015968,501,4,0.007984031936127744,501,304,78,85,26
1993.3333333333194,506,6,0.011857707509881422,506,5,0.009881422924901186,506,1,0.001976284584980237,506,325,82,78,19
1993.4166666666526,500,8,0.016,500,5,0.01,500,3,0.006,500,318,88,73,12
1993.499999999986,502,9,0.017928286852589643,502,6,0.01195219123505976,502,3,0.00597609561752988,502,314,77,89,13
1993.5833333333192,511,7,0.0136986301369863,511,3,0.005870841487279843,511,4,0.007827788649706457,511,348,64,71,22
1993.6666666666524,500,5,0.01,500,4,0.008,500,1,0.002,500,300,87,87,16
1993.7499999999857,504,8,0.015873015873015872,504,5,0.00992063492063492,504,3,0.005952380952380952,504,325,72,86,19
1993.833333333319,512,4,0.0078125,512,1,0.001953125,512,3,0.005859375,512,315,88,88,13
1993.9166666666522,510,7,0.013725490196078431,510,3,0.0058823529411764705,510,4,0.00784313725490196,510,303,84,100,17
1993.9999999999854,503,3,0.005964214711729622,503,0,0.0,503,3,0.005964214711729622,503,289,84,104,17
1994.0833333333187,504,5,0.00992063492063492,504,2,0.003968253968253968,504,3,0.005952380952380952,504,294,91,98,14
1994.166666666652,508,4,0.007874015748031496,508,3,0.005905511811023622,508,1,0.001968503937007874,508,341,76,79,9
1994.2499999999852,501,6,0.011976047904191617,501,2,0.003992015968063872,501,4,0.007984031936127744,501,328,88,75,10
1994.3333333333185,500,5,0.01,500,1,0.002,500,4,0.008,500,313,85,89,9
1994.4166666666517,508,5,0.00984251968503937,508,3,0.005905511811023622,508,2,0.003937007874015748,508,320,71,98,12
1994.499999999985,529,3,0.005671077504725898,529,3,0.005671077504725898,529,0,0.0,529,350,69,90,18
1994.5833333333183,505,3,0.005940594059405941,505,2,0.0039603960396039604,505,1,0.0019801980198019802,505,344,78,74,6
1994.6666666666515,507,8,0.015779092702169626,507,6,0.011834319526627219,507,2,0.0039447731755424065,507,372,66,60,6
1994.7499999999848,501,7,0.013972055888223553,501,6,0.011976047904191617,501,1,0.001996007984031936,501,345,68,74,10
1994.833333333318,500,7,0.014,500,3,0.006,500,4,0.008,500,337,73,70,11
1994.9166666666513,503,6,0.011928429423459244,503,5,0.009940357852882704,503,1,0.0019880715705765406,503,344,67,72,14
1994.9999999999845,507,4,0.007889546351084813,507,3,0.005917159763313609,507,1,0.0019723865877712033,507,341,76,75,10
1995.0833333333178,502,2,0.00398406374501992,502,0,0.0,502,2,0.00398406374501992,502,331,84,71,8
