Date,total_num_articles,num_of_relevant_articles,inflation_articles_per_month,positive_articles,neutral_articles,negative_articles,sentiment_gap
1987.9999999999927,8962.0,776.0,7.0,2.0,1.0,4.0,2.0
1988.083333333326,8811.0,810.0,5.0,1.0,1.0,3.0,2.0
1988.1666666666592,8895.0,826.0,5.0,0.0,4.0,1.0,1.0
1988.2499999999925,8507.0,853.0,12.0,6.0,3.0,3.0,-3.0
1988.3333333333258,9760.0,858.0,16.0,5.0,5.0,6.0,1.0
1988.416666666659,7990.0,890.0,13.0,5.0,3.0,5.0,0.0
1988.4999999999923,8923.0,900.0,16.0,6.0,4.0,6.0,0.0
1988.5833333333255,9106.0,819.0,18.0,7.0,5.0,6.0,-1.0
1988.6666666666588,8366.0,856.0,15.0,11.0,0.0,4.0,-7.0
1988.749999999992,9679.0,708.0,7.0,3.0,1.0,3.0,0.0
1988.8333333333253,9555.0,814.0,6.0,4.0,1.0,1.0,-3.0
1988.9166666666586,7935.0,898.0,12.0,7.0,0.0,5.0,-2.0
1988.9999999999918,8784.0,796.0,12.0,6.0,3.0,3.0,-3.0
1989.083333333325,8279.0,689.0,24.0,4.0,9.0,11.0,7.0
1989.1666666666583,8989.0,856.0,17.0,5.0,4.0,8.0,3.0
1989.2499999999916,9732.0,730.0,6.0,3.0,2.0,1.0,-2.0
1989.3333333333248,9307.0,811.0,15.0,6.0,4.0,5.0,-1.0
1989.416666666658,7834.0,777.0,12.0,3.0,4.0,5.0,2.0
1989.4999999999914,8591.0,721.0,10.0,4.0,2.0,4.0,0.0
1989.5833333333246,8732.0,627.0,5.0,2.0,2.0,1.0,-1.0
1989.6666666666579,7504.0,619.0,7.0,4.0,0.0,3.0,-1.0
1989.7499999999911,9415.0,655.0,8.0,5.0,2.0,1.0,-4.0
1989.8333333333244,9192.0,629.0,7.0,3.0,2.0,2.0,-1.0
1989.9166666666576,8172.0,706.0,2.0,0.0,2.0,0.0,0.0
1989.999999999991,8879.0,616.0,4.0,3.0,0.0,1.0,-2.0
1990.0833333333242,8468.0,573.0,2.0,2.0,0.0,0.0,-2.0
1990.1666666666574,8856.0,654.0,5.0,0.0,1.0,4.0,4.0
1990.2499999999907,9694.0,574.0,6.0,3.0,1.0,2.0,-1.0
1990.333333333324,8963.0,666.0,7.0,1.0,3.0,3.0,2.0
1990.4166666666572,7071.0,698.0,1.0,0.0,1.0,0.0,0.0
1990.4999999999905,8219.0,592.0,4.0,1.0,1.0,2.0,1.0
1990.5833333333237,7987.0,771.0,8.0,2.0,3.0,3.0,1.0
1990.666666666657,7405.0,830.0,8.0,0.0,2.0,6.0,6.0
1990.7499999999902,8687.0,837.0,6.0,4.0,1.0,1.0,-3.0
1990.8333333333235,7782.0,675.0,10.0,0.0,0.0,10.0,10.0
1990.9166666666567,6894.0,686.0,15.0,1.0,1.0,13.0,12.0
1990.99999999999,6866.0,996.0,11.0,0.0,1.0,10.0,10.0
1991.0833333333233,7323.0,971.0,13.0,2.0,1.0,10.0,8.0
1991.1666666666565,7312.0,768.0,9.0,0.0,1.0,8.0,8.0
1991.2499999999898,8005.0,679.0,10.0,0.0,1.0,9.0,9.0
1991.333333333323,7274.0,736.0,7.0,1.0,2.0,4.0,3.0
1991.4166666666563,7439.0,650.0,9.0,0.0,1.0,8.0,8.0
1991.4999999999895,7506.0,587.0,15.0,2.0,3.0,10.0,8.0
1991.5833333333228,6297.0,449.0,8.0,2.0,0.0,6.0,4.0
1991.666666666656,7213.0,567.0,6.0,0.0,1.0,5.0,5.0
1991.7499999999893,6536.0,509.0,9.0,0.0,0.0,9.0,9.0
1991.8333333333226,6739.0,569.0,10.0,1.0,0.0,9.0,8.0
1991.9166666666558,7078.0,499.0,9.0,1.0,1.0,7.0,6.0
1991.999999999989,7618.0,538.0,7.0,0.0,1.0,6.0,6.0
1992.0833333333223,6032.0,529.0,6.0,1.0,1.0,4.0,3.0
1992.1666666666556,7753.0,547.0,9.0,1.0,2.0,6.0,5.0
1992.2499999999889,7182.0,419.0,5.0,0.0,0.0,5.0,5.0
1992.3333333333221,8082.0,486.0,7.0,1.0,1.0,5.0,4.0
1992.4166666666554,7123.0,537.0,12.0,1.0,1.0,10.0,9.0
1992.4999999999886,7235.0,500.0,5.0,0.0,0.0,5.0,5.0
1992.583333333322,7341.0,547.0,6.0,0.0,0.0,6.0,6.0
1992.6666666666551,6529.0,450.0,8.0,1.0,0.0,7.0,6.0
1992.7499999999884,7289.0,466.0,6.0,0.0,0.0,6.0,6.0
1992.8333333333217,7240.0,541.0,11.0,0.0,1.0,10.0,10.0
1992.916666666655,6614.0,562.0,8.0,2.0,0.0,6.0,4.0
1992.9999999999882,7340.0,721.0,8.0,0.0,0.0,8.0,8.0
1993.0833333333214,6575.0,630.0,2.0,0.0,1.0,1.0,1.0
1993.1666666666547,6062.0,570.0,12.0,1.0,2.0,9.0,8.0
1993.249999999988,6748.0,544.0,15.0,0.0,5.0,10.0,10.0
1993.3333333333212,7153.0,666.0,14.0,0.0,4.0,10.0,10.0
1993.4166666666545,6530.0,633.0,16.0,0.0,4.0,12.0,12.0
1993.4999999999877,6805.0,582.0,13.0,4.0,1.0,8.0,4.0
1993.583333333321,7115.0,545.0,11.0,1.0,2.0,8.0,7.0
1993.6666666666542,6056.0,527.0,14.0,0.0,2.0,12.0,12.0
1993.7499999999875,8068.0,637.0,10.0,1.0,2.0,7.0,6.0
1993.8333333333208,7182.0,576.0,10.0,2.0,1.0,7.0,5.0
1993.916666666654,6386.0,411.0,12.0,0.0,2.0,10.0,10.0
1993.9999999999873,6856.0,436.0,18.0,1.0,2.0,15.0,14.0
1994.0833333333205,5934.0,437.0,16.0,1.0,4.0,11.0,10.0
1994.1666666666538,6512.0,483.0,24.0,6.0,3.0,15.0,9.0
1994.249999999987,6642.0,374.0,20.0,4.0,5.0,11.0,7.0
1994.3333333333203,7177.0,434.0,33.0,1.0,4.0,28.0,27.0
1994.4166666666536,6249.0,406.0,19.0,0.0,1.0,18.0,18.0
1994.4999999999868,6925.0,426.0,19.0,4.0,0.0,15.0,11.0
1994.58333333332,6662.0,496.0,20.0,2.0,3.0,15.0,13.0
1994.6666666666533,6149.0,536.0,29.0,1.0,5.0,23.0,22.0
1994.7499999999866,7352.0,447.0,18.0,3.0,1.0,14.0,11.0
1994.8333333333198,6892.0,450.0,20.0,2.0,4.0,14.0,12.0
